År;Land eller område;Normalbelopp
2024;Albanien;322
2024;Algeriet;388
2024;Angola;530
2024;Antigua och Barbuda;834
2024;Argentina;290
2024;Armenien;557
2024;Australien;817
2024;Azerbajdzjan;471
2024;Bahamas;1267
2024;Bahrain;994
2024;Bangladesh;499
2024;Barbados;1125
2024;Belarus;290
2024;Belgien;894
2024;Belize;681
2024;Benin;600
2024;Bolivia;432
2024;Bosnien-Hercegovina;377
2024;Botswana;407
2024;Brasilien;505
2024;Brunei Darussalam;551
2024;Bulgarien;431
2024;Burkina Faso;478
2024;Burma;Se Myanmar
2024;Centralafrikanska republiken;501
2024;Chile;575
2024;Colombia;343
2024;Costa Rica;772
2024;Cypern;682
2024;Danmark;1274
2024;Djibouti;697
2024;Ecuador;703
2024;Egypten;290
2024;Elfenbenskusten;766
2024;El Salvador;574
2024;Eritrea;504
2024;Estland;611
2024;Eswatini;290
2024;Etiopien;310
2024;Filippinerna;563
2024;Finland;948
2024;Frankrike;935
2024;Förenade Arabemiraten;1060
2024;Gabon;731
2024;Gambia;321
2024;Georgien;381
2024;Ghana;514
2024;Grekland;728
2024;Grenada;706
2024;Grönland;Se Danmark
2024;Guinea;683
2024;Guyana;653
2024;Haiti;789
2024;Honduras;530
2024;Hong Kong;Se Kina
2024;Indien;377
2024;Indonesien;488
2024;Irak;730
2024;Iran;Se Övriga länder och områden
2024;Irland;1011
2024;Island;1064
2024;Israel;921
2024;Italien;856
2024;Jamaica;506
2024;Japan;486
2024;Jordanien;950
2024;Kambodja;593
2024;Kamerun;554
2024;Kanada;1009
2024;Kazakstan;378
2024;Kenya;435
2024;Kina;688
2024;Kirgizistan;290
2024;Kongo (Brazzaville);680
2024;Kongo (Demokratiska Republiken);697
2024;Kosovo;290
2024;Kroatien;510
2024;Kuba;373
2024;Kuwait;928
2024;Laos;290
2024;Lettland;687
2024;Libanon;Se Övriga länder och områden
2024;Liberia;752
2024;Libyen;290
2024;Liechtenstein;1147
2024;Litauen;599
2024;Luxemburg;977
2024;Macao;Se Kina
2024;Madagaskar;290
2024;Makedonien;Se Nordmakedonien
2024;Malawi;403
2024;Malaysia;319
2024;Maldiverna;477
2024;Mali;511
2024;Malta;655
2024;Marocko;470
2024;Mauretanien;404
2024;Mauritius;432
2024;Mexiko;668
2024;Mikronesien;619
2024;Mocambique;438
2024;Moldavien;389
2024;Monaco;1009
2024;Mongoliet;504
2024;Montenegro;416
2024;Myanmar;290
2024;Nederländerna;792
2024;Nederländska Antillerna;786
2024;Nepal;312
2024;Nicaragua;542
2024;Niger;387
2024;Nigeria;435
2024;Nordmakedonien;320
2024;Norge;1104
2024;Nya Zeeland;656
2024;Oman;977
2024;Pakistan;290
2024;Panama;779
2024;Papua Nya Guinea;662
2024;Paraguay;352
2024;Peru;504
2024;Polen;562
2024;Portugal;613
2024;Puerto Rico;Se USA
2024;Qatar;967
2024;Rumänien;424
2024;Rwanda;290
2024;Ryssland;544
2024;Saint Lucia;789
2024;Saint Vincent och Grenadinerna;564
2024;Samoa, Självständiga staten;649
2024;San Marino;Se Italien
2024;Saudiarabien;1220
2024;Schweiz;1365
2024;Senegal;652
2024;Serbien;453
2024;Seychellerna;1092
2024;Sierra Leone;290
2024;Singapore;959
2024;Slovakien;691
2024;Slovenien;592
2024;Spanien;691
2024;Sri Lanka;471
2024;Storbritannien och Nordirland;914
2024;Sudan;701
2024;Swaziland;Se Eswatini
2024;Sydafrika;318
2024;Sydkorea;681
2024;Taiwan;615
2024;Tanzania;413
2024;Thailand;563
2024;Tjeckien;735
2024;Togo;567
2024;Tonga;519
2024;Trinidad och Tobago;960
2024;Tunisien;290
2024;Turkiet;290
2024;Turkmenistan;1649
2024;Tyskland;800
2024;Uganda;422
2024;Ukraina;393
2024;Ungern;666
2024;Uruguay;624
2024;USA;1168
2024;Uzbekistan;290
2024;Vanuatu;743
2024;Venezuela;420
2024;Vietnam;433
2024;Vitryssland;Se Belarus
2024;Zambia;425
2024;Zimbabwe;660
2024;Österrike;746
2024;Övriga länder och områden;493
